candidate_id,rank,score,reasoning
CAND_0040117,31,0.578,"Strong semantic match (0.58) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0012957,32,0.5771,"Strong semantic match (0.58) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0030031,33,0.574,"Strong semantic match (0.57) with 5 years of relevant experience, demonstrating hands-on expertise in Python, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0050454,34,0.567,"Strong semantic match (0.57) with 6 years of relevant experience, demonstrating hands-on expertise in FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0077285,35,0.5668,"Strong semantic match (0.57) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0030827,36,0.5659,"Strong semantic match (0.57) with 5 years of relevant experience, demonstrating hands-on expertise in FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0005649,37,0.5657,"Strong semantic match (0.57) with 7 years of relevant experience, demonstrating hands-on expertise in Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0013536,38,0.5653,"Strong semantic match (0.57) with 14 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0088025,39,0.565,"Strong semantic match (0.56) with 8 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0018549,40,0.5649,"Strong semantic match (0.56) with 6 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0035879,41,0.5639,"Strong semantic match (0.56) with 4 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0076251,42,0.5631,"Strong semantic match (0.56) with 7 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0073007,43,0.5629,"Strong semantic match (0.56) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0019480,44,0.5623,"Strong semantic match (0.56) with 2 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Excellent alignment with target product-engineering scale and structural background."
CAND_0070398,45,0.5623,"Strong semantic match (0.56) with 7 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0006732,46,0.5616,"Strong semantic match (0.56) with 13 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0052994,47,0.5611,"Strong semantic match (0.56) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0046064,48,0.5603,"Strong semantic match (0.56) with 8 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0051004,49,0.5602,"Strong semantic match (0.56) with 4 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0081686,50,0.5591,"Strong semantic match (0.56) with 6 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0006418,51,0.558,"Strong semantic match (0.56) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0010685,52,0.5571,"Strong semantic match (0.56) with 6 years of relevant experience, demonstrating hands-on expertise in Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0033749,53,0.5561,"Strong semantic match (0.56) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0062247,54,0.5559,"Strong semantic match (0.56) with 7 years of relevant experience, demonstrating hands-on expertise in Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0036184,55,0.554,"Strong semantic match (0.55) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0055673,56,0.554,"Strong semantic match (0.55) with 3 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Note: High notice period (90 days) presents a minor transition timeline risk."
CAND_0044222,57,0.5532,"Strong semantic match (0.55) with 7 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0015578,58,0.5531,"Strong semantic match (0.55) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0055905,59,0.553,"Strong semantic match (0.55) with 8 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0043228,60,0.5523,"Strong semantic match (0.55) with 6 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Excellent alignment with target product-engineering scale and structural background."
CAND_0028793,61,0.5519,"Strong semantic match (0.55) with 7 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0011687,62,0.5514,"Strong semantic match (0.55) with 7 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0006567,63,0.5512,"Strong semantic match (0.55) with 7 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0061175,64,0.5508,"Strong semantic match (0.55) with 6 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0054394,65,0.5497,"Strong semantic match (0.55) with 4 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0020708,66,0.5475,"Strong semantic match (0.55) with 4 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0015065,67,0.5474,"Strong semantic match (0.55) with 3 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0055139,68,0.5474,"Strong semantic match (0.55) with 6 years of relevant experience, demonstrating hands-on expertise in Python. Excellent alignment with target product-engineering scale and structural background."
CAND_0068811,69,0.5457,"Strong semantic match (0.55) with 8 years of relevant experience, demonstrating hands-on expertise in Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0013613,70,0.5431,"Strong semantic match (0.54) with 4 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0039754,71,0.5429,"Strong semantic match (0.54) with 16 years of relevant experience, demonstrating hands-on expertise in Python. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0098846,72,0.5429,"Strong semantic match (0.54) with 7 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0012133,73,0.5425,"Strong semantic match (0.54) with 9 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval. Excellent alignment with target product-engineering scale and structural background."
CAND_0025640,74,0.5425,"Strong semantic match (0.54) with 5 years of relevant experience, demonstrating hands-on expertise in Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0068351,75,0.5423,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Python, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0067866,76,0.5415,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0094056,77,0.5411,"Strong semantic match (0.54) with 5 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0074735,78,0.5402,"Strong semantic match (0.54) with 5 years of relevant experience, demonstrating hands-on expertise in Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0066376,79,0.54,"Strong semantic match (0.54) with 5 years of relevant experience, demonstrating hands-on expertise in Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0054318,80,0.5398,"Strong semantic match (0.54) with 3 years of relevant experience, demonstrating hands-on expertise in Python, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0036437,81,0.539,"Strong semantic match (0.54) with 4 years of relevant experience, demonstrating hands-on expertise in FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0002120,82,0.5383,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0000031,83,0.5373,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0050876,84,0.5367,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Python, FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0070485,85,0.536,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0001930,86,0.5358,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0051936,87,0.5354,"Strong semantic match (0.54) with 3 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0057563,88,0.5351,"Strong semantic match (0.54) with 6 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Excellent alignment with target product-engineering scale and structural background."
CAND_0041669,89,0.5349,"Strong semantic match (0.53) with 8 years of relevant experience, demonstrating hands-on expertise in Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0065878,90,0.5349,"Strong semantic match (0.53) with 7 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0077337,91,0.5336,"Strong semantic match (0.53) with 7 years of relevant experience, demonstrating hands-on expertise in Python, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0099401,92,0.5336,"Strong semantic match (0.53) with 7 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings, Retrieval. Note: High notice period (90 days) presents a minor transition timeline risk."
CAND_0091909,93,0.5325,"Strong semantic match (0.53) with 6 years of relevant experience, demonstrating hands-on expertise in matching backend technical skills. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0048469,94,0.532,"Strong semantic match (0.53) with 4 years of relevant experience, demonstrating hands-on expertise in Embeddings. Excellent alignment with target product-engineering scale and structural background."
CAND_0040386,95,0.5317,"Strong semantic match (0.53) with 3 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0024878,96,0.5314,"Strong semantic match (0.53) with 5 years of relevant experience, demonstrating hands-on expertise in Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0075138,97,0.5311,"Strong semantic match (0.53) with 4 years of relevant experience, demonstrating hands-on expertise in Python, Embeddings. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0012397,98,0.5309,"Strong semantic match (0.53) with 9 years of relevant experience, demonstrating hands-on expertise in Embeddings, FAISS. Excellent alignment with target product-engineering scale and structural background."
CAND_0018499,99,0.5305,"Strong semantic match (0.53) with 7 years of relevant experience, demonstrating hands-on expertise in Embeddings, Retrieval. Demonstrates strong platform engagement metrics and solid behavioral signals."
CAND_0042506,100,0.5303,"Strong semantic match (0.53) with 4 years of relevant experience, demonstrating hands-on expertise in Retrieval, FAISS. Demonstrates strong platform engagement metrics and solid behavioral signals."
